codigo_ibge,uf,nome,capital,ddd
1200013,AC,Acrelândia,0,68
1200054,AC,Assis Brasil,0,68
1200104,AC,Brasiléia,0,68
1200138,AC,Bujari,0,68
1200179,AC,Capixaba,0,68
1200203,AC,Cruzeiro do Sul,0,68
1200252,AC,Epitaciolândia,0,68
1200302,AC,Feijó,0,68
1200328,AC,Jordão,0,68
1200336,AC,Mâncio Lima,0,68
1200344,AC,Manoel Urbano,0,68
1200351,AC,Marechal Thaumaturgo,0,68
1200385,AC,Plácido de Castro,0,68
1200807,AC,Porto Acre,0,68
1200393,AC,Porto Walter,0,68
1200401,AC,Rio Branco,1,68
1200427,AC,Rodrigues Alves,0,68
1200435,AC,Santa Rosa do Purus,0,68
1200500,AC,Sena Madureira,0,68
1200450,AC,Senador Guiomard,0,68
1200609,AC,Tarauacá,0,68
1200708,AC,Xapuri,0,68
2700102,AL,Água Branca,0,82
2700201,AL,Anadia,0,82
2700300,AL,Arapiraca,0,82
2700409,AL,Atalaia,0,82
2700508,AL,Barra de Santo Antônio,0,82
2700607,AL,Barra de São Miguel,0,82
2700706,AL,Batalha,0,82
2700805,AL,Belém,0,82
2700904,AL,Belo Monte,0,82
2701001,AL,Boca da Mata,0,82
2701100,AL,Branquinha,0,82
2701209,AL,Cacimbinhas,0,82
2701308,AL,Cajueiro,0,82
2701357,AL,Campestre,0,82
2701407,AL,Campo Alegre,0,82
2701506,AL,Campo Grande,0,82
2701605,AL,Canapi,0,82
2701704,AL,Capela,0,82
2701803,AL,Carneiros,0,82
2701902,AL,Chã Preta,0,82
2702009,AL,Coité do Nóia,0,82
2702108,AL,Colônia Leopoldina,0,82
2702207,AL,Coqueiro Seco,0,82
2702306,AL,Coruripe,0,82
2702355,AL,Craíbas,0,82
2702405,AL,Delmiro Gouveia,0,82
2702504,AL,Dois Riachos,0,82
2702553,AL,Estrela de Alagoas,0,82
2702603,AL,Feira Grande,0,82
2702702,AL,Feliz Deserto,0,82
2702801,AL,Flexeiras,0,82
2702900,AL,Girau do Ponciano,0,82
2703007,AL,Ibateguara,0,82
2703106,AL,Igaci,0,82
2703205,AL,Igreja Nova,0,82
2703304,AL,Inhapi,0,82
2703403,AL,Jacaré dos Homens,0,82
2703502,AL,Jacuípe,0,82
2703601,AL,Japaratinga,0,82
2703700,AL,Jaramataia,0,82
2703759,AL,Jequiá da Praia,0,82
2703809,AL,Joaquim Gomes,0,82
2703908,AL,Jundiá,0,82
2704005,AL,Junqueiro,0,82
2704104,AL,Lagoa da Canoa,0,82
2704203,AL,Limoeiro de Anadia,0,82
2704302,AL,Maceió,1,82
2704401,AL,Major Isidoro,0,82
2704906,AL,Mar Vermelho,0,82
2704500,AL,Maragogi,0,82
2704609,AL,Maravilha,0,82
2704708,AL,Marechal Deodoro,0,82
2704807,AL,Maribondo,0,82
2705002,AL,Mata Grande,0,82
2705101,AL,Matriz de Camaragibe,0,82
2705200,AL,Messias,0,82
2705309,AL,Minador do Negrão,0,82
2705408,AL,Monteirópolis,0,82
2705507,AL,Murici,0,82
2705606,AL,Novo Lino,0,82
2705705,AL,Olho d'Água das Flores,0,82
2705804,AL,Olho d'Água do Casado,0,82
2705903,AL,Olho d'Água Grande,0,82
2706000,AL,Olivença,0,82
2706109,AL,Ouro Branco,0,82
2706208,AL,Palestina,0,82
2706307,AL,Palmeira dos Índios,0,82
2706406,AL,Pão de Açúcar,0,82
2706422,AL,Pariconha,0,82
2706448,AL,Paripueira,0,82
2706505,AL,Passo de Camaragibe,0,82
2706604,AL,Paulo Jacinto,0,82
2706703,AL,Penedo,0,82
2706802,AL,Piaçabuçu,0,82
2706901,AL,Pilar,0,82
2707008,AL,Pindoba,0,82
2707107,AL,Piranhas,0,82
2707206,AL,Poço das Trincheiras,0,82
2707305,AL,Porto Calvo,0,82
2707404,AL,Porto de Pedras,0,82
2707503,AL,Porto Real do Colégio,0,82
2707602,AL,Quebrangulo,0,82
2707701,AL,Rio Largo,0,82
2707800,AL,Roteiro,0,82
2707909,AL,Santa Luzia do Norte,0,82
2708006,AL,Santana do Ipanema,0,82
2708105,AL,Santana do Mundaú,0,82
2708204,AL,São Brás,0,82
2708303,AL,São José da Laje,0,82
2708402,AL,São José da Tapera,0,82
2708501,AL,São Luís do Quitunde,0,82
2708600,AL,São Miguel dos Campos,0,82
2708709,AL,São Miguel dos Milagres,0,82
2708808,AL,São Sebastião,0,82
2708907,AL,Satuba,0,82
2708956,AL,Senador Rui Palmeira,0,82
2709004,AL,Tanque d'Arca,0,82
2709103,AL,Taquarana,0,82
2709152,AL,Teotônio Vilela,0,82
2709202,AL,Traipu,0,82
2709301,AL,União dos Palmares,0,82
2709400,AL,Viçosa,0,82
1300029,AM,Alvarães,0,97
1300060,AM,Amaturá,0,97
1300086,AM,Anamã,0,97
1300102,AM,Anori,0,97
1300144,AM,Apuí,0,97
1300201,AM,Atalaia do Norte,0,97
1300300,AM,Autazes,0,92
1300409,AM,Barcelos,0,97
1300508,AM,Barreirinha,0,92
1300607,AM,Benjamin Constant,0,97
1300631,AM,Beruri,0,97
1300680,AM,Boa Vista do Ramos,0,92
1300706,AM,Boca do Acre,0,97
1300805,AM,Borba,0,92
1300839,AM,Caapiranga,0,92
1300904,AM,Canutama,0,97
1301001,AM,Carauari,0,97
1301100,AM,Careiro,0,92
1301159,AM,Careiro da Várzea,0,92
1301209,AM,Coari,0,97
1301308,AM,Codajás,0,97
1301407,AM,Eirunepé,0,97
1301506,AM,Envira,0,97
1301605,AM,Fonte Boa,0,97
1301654,AM,Guajará,0,97
1301704,AM,Humaitá,0,97
1301803,AM,Ipixuna,0,97
1301852,AM,Iranduba,0,92
1301902,AM,Itacoatiara,0,92
1301951,AM,Itamarati,0,97
1302009,AM,Itapiranga,0,92
1302108,AM,Japurá,0,97
1302207,AM,Juruá,0,97
1302306,AM,Jutaí,0,97
1302405,AM,Lábrea,0,97
1302504,AM,Manacapuru,0,92
1302553,AM,Manaquiri,0,92
1302603,AM,Manaus,1,92
1302702,AM,Manicoré,0,97
1302801,AM,Maraã,0,97
1302900,AM,Maués,0,92
